"Kalasin",1,4,6,9,2,0,5,2,0,1,4,5,0,4,10,13,32,16,16,2,1,3,4,2,3,7,16,16,10,5,20,19,8,20,9,1,16,22,30,37,33,19,18,11,11,11,5,7,17,18,24,13,24,42,47,31,26,11,10,9,13,8,8,17,15,16,22,26,31,18,14,11,29,20,14,41,41,59,34,15,16,7,9,14,18,17,20,13,15,44,20,35,32,35,54,32,41,36,55,20,28,60,63,25,13,11,11,6,4,8,12,21,21,23,30,34,49,64,64,44,48,68,47,50,41,83,86,41,23,20,22,31,17,15,45,30,35,24,17,8,2,0,0,0,2,5,5,9,1,4,2,5,5,3,0,1,13,9,20,7,5,7,31,14,7,38,28,24,82,102,56,33,29,28,39,35,39,23,3,5,1,23,27,12,8,8,8,0,2,1,0,0,4,9,10,2,6,3,3,2,3,3,2,3,16,16,46,64,60,122,131,79,63,75,31,15,20,30,26,15,7,5,3,0,1,0,4,3,1,1,3,0,3,5,0,2,3,0,0,0,1,1,2,1,2,1,1,1,1,0,0,1,0,2,1,3,1,1,6,2,0,0,0,1,8,2,0,5,3,7,2,8,2,1,0,1,1,2,4,1,3,2,3,1,8,47,32,7,2,5,3,0,2,1,2,5,1,1,1,0,2,4,5,6,8,3,5,4,1,5,2,0,0,2,1,0,2,1,0,6,7,0,1,1,1,3,1,0,0,0,0,1,0,0,0,0,2,4,5,6,3,2,8,8,0,1,0,1,1,0,1,0,2,1,0,0,0,0,1,0,1,2,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,1,5,4,6,2,2,0,0,8,5,4,2,1,1,1,1,3,0,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,1,1,0,1,1,2,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0
"Kamphaeng Phet",18,32,37,19,7,4,5,9,0,0,2,1,15,25,19,35,12,24,7,9,10,10,3,3,21,28,59,2,10,7,4,4,2,2,1,2,6,11,24,12,9,15,9,18,6,4,6,16,20,30,49,48,47,41,55,53,43,44,45,19,73,78,55,36,13,9,11,9,9,2,5,3,4,13,12,15,14,22,16,16,12,18,25,27,33,67,77,42,24,26,27,37,20,25,18,19,61,87,143,75,41,49,41,29,25,21,15,9,7,5,18,13,2,8,18,18,23,37,74,62,115,94,112,61,37,26,24,11,5,6,13,13,21,30,27,30,11,10,9,5,12,13,2,5,10,25,31,10,1,2,4,7,4,2,7,8,11,17,23,6,13,8,13,11,26,11,10,37,116,142,164,131,55,47,54,41,38,21,29,30,38,32,41,25,18,21,23,17,18,20,12,5,28,20,19,14,16,19,13,7,5,2,3,4,13,17,11,11,16,15,31,35,37,55,29,42,103,84,44,20,11,22,6,3,9,9,8,4,2,7,3,1,6,5,4,5,3,5,3,3,4,5,16,7,3,6,5,4,6,4,4,3,12,13,12,9,7,4,7,4,6,7,3,2,3,5,3,5,11,9,10,7,8,6,4,5,2,9,4,3,10,1,4,4,2,4,3,1,2,2,5,3,5,4,5,2,0,1,1,0,4,3,2,3,2,0,0,2,0,3,2,2,2,1,1,2,0,1,4,0,1,3,1,1,0,2,1,3,3,4,2,2,3,1,1,0,5,2,2,0,1,2,1,1,2,0,1,2,3,1,5,1,2,4,1,3,0,0,1,2,1,3,1,0,0,1,0,2,2,0,0,0,2,1,1,2,1,1,0,0,1,1,0,4,4,3,3,1,1,0,0,2,1,1,0,1,0,4,5,2,1,3,1,0,3,3,1,0,0,1,0,1,2,0,0,2,0,3,0,0,0,6,1,2,0,2,0,0,2,0,1,0
"Kanchanaburi",29,12,43,31,11,2,4,9,15,19,28,20,17,31,49,40,25,42,60,95,70,80,33,26,59,77,49,67,24,24,5,14,12,17,15,17,30,16,37,38,20,23,42,42,26,59,20,35,72,56,70,79,55,51,88,110,36,39,41,49,64,67,54,35,29,36,31,38,37,20,22,20,17,38,23,26,30,35,30,27,13,33,27,49,54,88,70,54,26,70,35,69,37,63,73,47,84,91,136,66,59,33,46,14,15,15,8,10,25,23,12,18,13,17,10,12,6,12,26,29,53,82,107,65,41,46,50,81,57,50,74,93,162,154,149,74,16,21,17,10,21,15,15,11,9,14,30,14,10,5,9,11,3,9,5,7,36,29,61,19,9,19,23,30,37,32,25,32,80,95,87,54,13,26,19,32,46,53,14,28,42,46,31,9,11,11,8,6,6,5,4,9,12,8,16,3,8,8,3,6,2,3,6,4,2,4,13,11,12,7,2,11,20,21,14,30,92,138,125,47,16,15,22,13,14,8,7,3,5,6,4,2,4,5,4,10,3,2,4,3,4,6,9,7,12,5,4,3,3,7,1,2,7,3,6,11,1,9,9,4,7,6,10,18,38,49,50,11,5,7,7,3,6,2,1,2,3,5,4,8,4,7,4,7,2,1,3,1,10,5,4,5,2,5,5,4,3,3,2,2,3,25,6,8,5,6,4,10,18,6,7,9,3,3,3,3,2,3,2,3,1,1,0,0,2,3,3,2,1,2,4,5,1,2,0,2,5,3,5,6,1,3,1,9,2,11,13,11,8,12,14,16,12,8,9,4,6,3,1,5,0,4,6,3,2,2,3,1,1,1,1,0,4,1,4,1,3,5,5,1,2,3,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,7,2,2,0,1,2,3,1,1,5,1,4,3,3,2,0,1,0,1,0,0,2,0,1,0,1,1,0
"Khon Kaen",23,64,92,85,39,69,76,43,17,38,41,34,16,32,79,33,34,28,31,15,12,16,19,11,11,33,64,83,93,56,31,47,30,26,29,18,45,123,213,120,77,70,66,80,69,74,82,88,99,140,124,116,126,141,113,110,58,45,36,23,56,76,102,80,71,134,106,80,52,36,30,27,42,43,65,63,41,46,26,46,35,30,17,24,24,38,56,21,31,69,52,54,57,78,107,111,292,312,237,79,73,31,63,28,13,9,4,3,7,12,16,15,12,22,22,22,25,27,28,26,48,46,75,47,66,45,80,57,57,48,53,79,98,104,152,51,33,47,24,20,21,23,16,11,2,6,21,7,1,9,8,4,7,2,5,2,12,23,41,12,7,28,41,35,52,48,53,38,103,147,108,49,47,35,18,4,1,5,11,14,12,10,14,14,6,5,6,4,4,6,3,2,22,18,16,7,6,2,7,1,7,11,3,2,8,10,25,13,14,10,10,26,15,17,8,6,16,18,12,3,6,5,4,0,5,5,2,5,6,4,1,6,5,7,5,1,0,1,1,3,2,3,8,6,2,0,1,0,0,2,2,4,2,2,6,6,3,6,5,11,7,5,0,5,11,31,13,7,1,7,9,8,3,5,0,0,2,6,9,3,3,5,0,0,3,0,2,5,3,5,11,2,1,5,0,7,10,1,4,3,1,1,1,2,1,5,3,3,3,17,3,2,20,23,34,11,6,5,6,5,2,2,3,2,7,4,2,8,3,8,3,1,1,4,2,5,7,4,4,5,4,5,11,6,12,9,11,8,17,11,8,4,7,13,19,3,5,4,6,2,0,6,3,3,0,3,1,4,1,0,2,1,0,3,1,0,2,3,7,3,1,3,0,0,4,4,5,5,5,5,6,5,3,10,0,5,6,2,2,5,3,1,1,2,0,3,0,1,1,2,0,0,0,0,1,1,1,1,1,0,0,3,3,0,0,1,1,3,0,0,0,1
"Krabi",3,3,2,3,5,12,18,22,17,10,18,12,10,4,15,6,4,5,2,2,6,2,4,5,2,4,3,2,6,3,0,2,2,5,13,12,12,6,12,5,7,5,8,17,9,14,18,8,10,20,13,4,5,5,15,16,9,13,8,5,6,2,5,8,4,4,14,21,17,11,10,9,12,30,9,6,3,4,2,2,4,2,6,2,3,12,9,4,10,23,27,52,50,43,42,41,40,46,39,30,13,13,13,23,26,14,3,9,6,4,14,6,4,5,2,5,9,16,10,12,10,9,20,11,11,26,42,56,49,97,63,43,35,27,40,15,10,13,9,15,6,15,9,2,6,2,2,5,4,3,6,9,9,20,37,39,52,49,64,16,16,33,15,13,16,24,12,6,20,5,4,7,9,26,12,17,13,17,1,12,9,15,13,9,6,20,33,53,74,87,37,24,9,8,6,4,6,1,5,4,3,4,1,0,6,3,2,2,1,7,3,13,7,9,4,3,8,3,1,1,0,6,8,3,1,7,5,0,3,4,2,0,3,0,2,0,1,1,0,0,3,2,1,1,1,0,0,1,2,7,0,1,0,2,2,0,1,0,4,13,13,6,1,2,2,6,8,1,0,5,4,1,0,1,2,0,0,0,0,0,2,0,0,1,1,2,0,0,2,1,4,1,0,1,2,2,4,0,0,1,1,2,0,1,1,7,1,3,2,2,1,0,4,0,2,1,0,2,4,1,2,0,0,0,1,1,1,0,2,0,2,3,2,5,2,0,2,30,13,2,2,3,4,3,2,5,3,7,8,36,18,12,10,9,1,3,1,6,5,2,5,6,5,5,3,4,2,2,3,1,1,1,1,4,4,4,5,7,1,0,7,8,2,2,6,4,18,32,18,6,23,4,7,5,2,0,4,5,4,8,13,12,11,7,5,3,4,0,0,1,2,2,1,2,1,3,1,1,3,0,0,1,2,4,1,1,1,2,3,1,3,0
"Bangkok Metropolis",575,478,378,163,57,34,39,54,78,108,107,60,354,578,807,544,296,211,287,520,631,647,464,386,752,802,621,328,177,113,129,165,182,348,301,327,616,617,583,346,164,127,198,421,696,890,578,373,630,904,930,471,186,184,262,499,591,710,570,474,570,490,438,223,119,134,191,229,260,352,278,230,357,419,307,203,105,80,76,120,131,208,208,185,383,434,506,322,187,222,489,1016,996,1008,529,368,463,366,246,112,73,32,148,121,117,145,99,109,123,115,131,105,32,24,14,4,108,172,149,212,369,394,443,187,41,82,116,167,170,267,178,179,350,407,506,184,79,60,53,59,61,59,54,28,53,31,79,34,16,27,8,18,15,15,15,39,59,99,140,39,28,37,53,62,72,114,115,179,434,518,463,160,73,63,48,37,44,48,32,29,44,28,54,21,21,12,16,18,13,19,25,14,21,42,24,20,9,17,8,20,10,22,24,58,67,72,158,108,58,79,53,100,152,152,136,94,91,140,138,61,25,19,21,24,16,19,14,10,28,20,52,29,21,25,22,26,13,13,10,12,25,18,33,23,15,9,24,29,32,42,34,7,24,31,20,20,18,24,43,87,77,78,45,31,31,50,42,52,22,3,7,10,2,3,1,1,17,10,5,8,0,1,0,4,4,1,0,0,0,0,0,1,0,11,6,24,15,9,7,11,9,17,24,1,4,23,14,9,30,26,27,17,17,26,9,5,5,1,2,6,5,10,3,1,3,0,4,6,3,2,1,3,2,0,4,4,1,7,12,11,6,10,17,13,13,16,13,10,12,10,12,3,7,5,9,3,6,4,1,2,3,2,2,1,3,0,2,3,2,0,1,2,1,6,4,5,7,5,3,1,5,1,1,1,0,2,3,6,1,0,5,4,2,4,5,7,3,6,11,3,18,1,4,4,4,1,3,2,2,3,3,0,5,2,1,1,1,2,1,0,3,1,2,1,4,1,2,3,2,3,5,3
"Lampang",9,31,49,37,12,13,10,3,13,3,0,3,6,17,18,16,6,8,5,2,12,29,21,15,20,53,50,14,17,34,29,48,34,33,39,12,18,52,46,44,37,32,37,30,43,63,41,78,143,259,257,170,74,70,68,78,54,69,60,98,183,161,143,93,87,71,115,57,50,22,20,19,28,22,32,21,25,31,16,9,19,7,7,12,16,10,20,9,27,47,61,69,58,52,75,50,109,89,42,113,39,29,21,22,16,5,4,34,25,10,7,2,1,7,3,2,1,1,1,2,3,2,15,8,5,7,18,12,6,9,8,0,43,39,87,24,8,8,18,6,3,2,3,1,0,0,2,3,0,1,1,5,2,1,0,2,4,1,23,2,6,7,9,13,4,3,5,10,23,44,58,55,28,43,83,32,51,35,9,13,16,32,12,4,1,0,0,1,2,1,1,0,3,1,0,2,3,5,3,0,1,2,2,0,2,1,6,1,2,3,2,3,0,1,0,0,1,4,8,6,1,4,1,4,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,4,5,2,1,0,1,3,3,6,8,2,2,0,2,1,3,3,1,0,1,1,0,3,2,2,2,2,4,5,7,20,49,69,58,24,11,4,5,4,1,2,2,4,0,3,7,0,2,3,2,0,0,0,0,5,2,0,1,1,2,2,1,0,4,1,2,2,0,1,0,1,0,1,0,1,2,2,0,0,3,1,2,0,5,4,0,1,3,1,0,0,2,0,4,3,2,2,2,1,1,0,2,0,5,1,5,1,7,2,2,1,2,4,1,1,1,0,1,0,1,4,0,8,2,1,1,0,0,2,2,0,0,0,0,1,2,2,0,1,1,4,0,4,0,1,0,0,0,1,0,2,3,0,2,2,1,0,1,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,1,1
"Lamphun",5,13,14,8,2,1,8,5,2,1,4,1,2,6,20,1,9,14,72,43,50,20,12,15,31,15,8,23,3,7,2,2,0,2,1,1,10,5,11,6,5,4,8,3,19,23,27,10,32,68,65,28,24,17,26,13,26,42,42,22,38,26,12,22,13,17,14,16,4,7,5,7,22,23,15,6,4,2,2,1,2,3,17,2,2,4,5,6,8,5,12,20,14,6,9,12,40,38,40,17,8,13,21,2,6,7,6,0,4,4,6,2,0,10,7,10,5,4,4,4,2,4,8,2,10,17,12,51,58,58,20,9,11,9,20,11,12,4,11,3,3,0,3,1,1,4,5,2,2,2,2,4,3,3,1,0,3,1,12,6,6,4,2,1,0,4,2,6,11,11,10,11,11,8,9,4,14,74,9,27,31,25,60,27,16,7,0,4,4,1,0,0,0,0,1,0,2,3,0,0,1,1,1,0,3,3,3,1,3,2,4,3,2,3,1,0,1,1,5,7,3,4,7,7,7,3,0,0,3,2,3,2,3,1,5,0,2,1,2,3,1,1,4,3,6,5,4,4,1,1,3,0,1,1,0,5,1,3,1,0,1,0,0,0,2,1,5,17,11,4,14,57,136,143,83,77,23,8,4,5,3,4,4,3,1,0,2,2,4,0,3,1,1,0,2,1,1,3,0,0,2,3,0,1,0,0,2,1,0,0,0,0,1,3,5,0,0,2,3,3,2,5,1,1,4,8,3,1,1,0,0,0,1,1,0,0,0,1,1,0,2,0,3,5,0,1,0,0,3,5,2,2,0,3,4,3,1,0,1,0,2,4,2,2,0,2,2,2,3,0,0,1,0,0,0,0,4,1,1,1,4,19,1,3,3,0,0,0,0,1,4,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Loei",3,28,30,6,18,28,14,19,6,4,25,22,25,49,62,42,32,75,36,22,16,5,5,6,21,33,45,9,18,6,13,12,13,10,21,22,30,79,148,124,84,44,35,55,77,58,50,28,84,76,91,91,45,55,47,19,8,12,12,8,15,24,33,37,9,34,18,38,55,33,31,20,13,68,40,31,11,38,26,17,17,5,20,23,25,21,25,14,21,38,26,9,13,16,40,23,62,69,94,65,14,29,21,36,30,29,28,20,33,62,120,78,47,51,46,23,33,16,20,19,12,27,17,13,17,9,18,16,17,44,83,47,51,105,81,43,33,39,41,29,21,8,10,2,1,9,21,13,12,7,9,5,10,3,2,1,5,3,13,7,7,21,19,45,90,128,144,138,96,65,49,32,19,23,16,9,5,2,4,5,13,8,17,14,9,22,11,19,24,19,4,1,3,6,8,2,2,7,3,2,6,5,5,0,8,9,8,2,7,28,21,22,17,25,17,14,18,17,7,4,7,4,0,1,1,0,0,0,6,7,7,2,2,3,3,1,0,3,1,0,3,0,4,1,2,1,2,0,0,0,3,17,35,37,32,25,8,32,18,8,0,3,3,0,3,5,1,8,5,11,4,1,1,0,1,0,1,1,2,0,1,1,3,2,0,1,1,1,1,1,4,4,1,0,1,1,0,0,0,0,0,0,1,0,0,9,1,10,0,4,1,3,2,1,3,1,2,0,0,6,3,0,0,1,0,0,1,0,0,1,0,3,2,0,0,0,1,1,0,2,2,4,5,13,8,2,2,2,0,2,5,2,0,0,0,7,2,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,0,8,1,3,0,0,0,1,0,1,2,3,2,2,2,2,3,0,0,1,1,0,0,0,2,3,0,6,7,14,8,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"Lop Buri",45,30,27,26,6,4,4,2,2,5,4,15,69,90,121,49,22,28,13,6,19,30,19,22,63,63,70,28,17,21,9,10,4,7,10,12,13,34,30,15,9,10,9,15,30,35,28,42,91,113,138,83,41,30,32,22,19,45,36,54,67,82,66,22,15,6,6,9,6,5,6,12,11,28,31,9,8,9,5,18,14,14,11,19,13,26,47,25,12,31,23,33,98,145,209,221,154,113,79,15,12,10,25,15,7,10,7,5,3,4,6,5,1,4,3,8,5,6,1,13,22,34,31,16,14,27,23,15,16,26,34,45,71,74,83,32,13,6,10,7,2,3,1,2,3,8,6,5,7,1,4,11,1,1,5,0,1,5,13,5,2,3,21,19,49,31,30,49,108,94,59,47,10,11,7,4,19,3,5,3,5,4,5,3,2,5,3,4,8,4,8,0,2,8,10,1,5,1,3,1,2,5,2,0,2,4,2,1,2,1,3,3,4,12,12,4,12,20,22,9,5,2,14,2,7,5,8,7,3,2,8,0,4,5,7,2,4,2,1,2,2,9,7,9,7,5,7,6,2,5,4,5,12,7,5,4,0,3,4,2,2,4,4,2,4,11,9,2,4,5,1,3,4,1,4,4,7,0,12,2,2,1,0,3,3,10,3,5,3,2,7,0,1,3,1,3,1,0,3,0,0,6,1,1,1,2,1,0,5,1,1,3,0,1,5,2,2,2,0,1,1,0,0,1,1,0,0,2,2,0,2,3,0,0,0,0,1,1,1,1,2,0,0,0,1,1,1,0,2,0,4,0,2,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Mae Hong Son",13,4,2,8,6,8,12,1,3,1,0,0,1,5,58,73,42,23,19,6,14,4,3,24,68,77,103,117,22,10,10,5,3,4,2,1,0,9,0,0,2,1,4,7,6,11,41,31,95,287,274,256,149,52,45,39,13,26,17,5,5,2,1,2,4,2,3,3,2,1,1,0,1,0,1,4,1,0,0,0,0,0,0,0,0,0,0,2,3,6,4,7,7,25,101,55,51,169,211,115,29,10,15,10,2,1,1,0,0,5,6,0,1,0,4,3,2,2,1,2,7,33,45,17,19,68,19,22,18,29,11,18,24,25,24,11,14,31,62,10,8,5,27,25,2,4,32,13,5,2,0,3,2,7,2,0,4,4,4,3,4,4,1,1,0,0,6,7,7,21,21,62,64,63,41,32,15,22,8,2,2,6,2,2,2,15,14,2,1,0,0,0,1,0,3,2,0,0,0,0,2,3,7,24,39,50,41,26,28,83,74,29,15,2,7,7,3,4,2,8,5,3,2,3,0,4,0,0,1,4,1,1,0,4,0,0,1,0,0,1,0,6,1,0,0,0,1,1,0,2,0,3,0,2,2,3,8,2,1,0,1,0,1,0,6,27,45,0,23,77,12,18,2,3,2,0,1,0,5,1,1,1,0,1,0,0,0,0,0,1,0,1,1,2,2,0,0,0,2,0,2,10,14,8,0,7,48,26,14,5,1,3,7,0,4,0,4,2,2,2,4,1,0,2,0,3,1,0,1,3,2,1,2,1,2,1,3,22,2,3,1,1,8,12,12,4,1,4,2,4,11,3,1,0,3,1,3,1,1,1,0,4,0,0,0,1,1,2,0,2,2,3,5,34,5,6,6,17,15,6,2,0,1,1,5,4,4,3,3,0,0,0,2,1,0,0,2,2,3,0,5,1,1,0,1,0,2,1,2,3,2,3,1,2,0,1,0,0,1,0,0,1,2,0,1,0,0,3,2,0,1,0
"Maha Sarakham",3,14,13,6,14,6,17,16,7,3,7,15,19,23,41,27,30,24,45,24,18,23,10,9,28,52,55,18,13,28,19,32,7,13,12,6,12,46,40,33,18,14,19,18,14,15,21,20,22,53,51,32,50,50,54,36,25,34,41,25,34,33,40,33,22,35,69,76,48,60,71,48,50,72,92,64,47,56,20,29,13,5,9,14,7,15,9,12,10,30,36,35,28,30,49,49,100,94,82,55,93,101,43,35,12,9,5,6,8,6,27,17,34,27,32,30,20,16,2,2,13,13,26,10,14,47,18,30,31,26,62,46,93,64,71,26,22,22,12,14,13,6,2,4,14,50,18,15,15,14,16,5,2,5,4,7,10,10,22,9,3,12,25,20,21,46,156,112,161,251,196,109,50,20,44,49,25,4,2,2,4,6,3,9,4,5,6,4,4,4,0,0,2,9,14,9,3,1,6,9,7,10,25,11,8,23,53,37,30,44,48,38,45,35,27,11,36,28,33,11,5,4,2,2,4,5,2,1,1,4,4,2,5,10,6,5,3,1,2,0,6,3,9,2,2,2,2,2,1,1,6,7,12,10,9,5,2,1,1,4,8,0,1,4,2,2,9,6,5,6,2,8,8,2,0,1,3,0,3,4,1,2,0,0,0,2,0,0,1,3,4,2,0,1,2,1,0,1,1,0,0,2,2,1,0,0,1,2,3,4,1,1,2,3,0,1,0,0,2,4,7,3,1,0,0,2,5,1,0,2,0,0,0,0,0,0,0,1,1,2,1,1,2,3,10,7,5,2,1,0,1,0,1,0,4,0,0,1,0,0,2,2,1,0,1,0,4,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,1,0,1,0,3,15,13,4,0,0,1,2,3,1,1,0,0,2,9,1,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
"Nakhon Nayok",24,27,19,4,6,10,3,3,2,0,6,1,2,14,7,8,10,0,3,9,1,2,0,0,26,72,34,24,11,18,16,4,4,8,8,12,26,36,27,11,0,2,2,13,8,22,23,41,36,37,30,22,10,15,14,6,19,24,18,29,46,28,18,8,4,12,13,13,6,4,1,0,6,17,10,11,5,4,2,6,5,25,15,24,34,31,14,8,5,3,24,43,58,84,95,44,43,14,4,3,8,1,7,3,1,3,3,1,15,2,4,8,2,6,3,10,1,2,1,0,13,9,29,21,5,16,14,17,30,25,24,27,31,46,67,34,16,16,6,4,12,14,10,6,1,0,5,1,2,8,3,2,1,1,1,0,1,3,8,2,1,3,6,9,4,7,1,4,26,87,137,34,4,6,7,9,18,13,17,2,6,2,3,6,8,3,2,1,1,1,0,3,2,1,5,1,0,0,4,0,1,1,2,1,10,5,3,1,1,0,2,2,3,3,6,11,17,19,30,18,5,4,2,1,0,0,0,1,24,28,58,16,2,4,5,0,2,0,0,0,4,0,2,1,0,2,0,0,0,0,2,1,0,0,0,3,2,3,3,0,1,0,0,1,2,0,3,1,1,2,1,0,0,1,0,0,1,0,0,0,2,1,0,1,1,2,0,0,1,1,2,1,1,1,2,1,1,0,1,2,1,1,0,0,0,1,0,0,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,3,1,0,0,0,0,0,0,0,2,2,3,0,3,3,0,1,0,2,2,3,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Nakhon Pathom",59,50,51,12,3,6,8,9,10,7,11,25,56,67,85,34,25,25,54,100,82,72,57,38,97,111,102,62,50,23,51,26,35,32,36,22,40,86,95,50,39,49,35,83,130,100,92,104,120,146,116,68,21,39,27,39,44,55,42,43,98,131,94,79,35,44,54,104,91,84,101,71,82,85,77,47,21,24,22,23,30,20,12,14,19,36,50,27,21,32,38,63,56,101,92,102,150,109,129,58,20,20,25,12,15,16,7,10,15,12,8,6,4,7,6,4,3,11,14,8,68,84,62,25,20,24,30,38,30,35,19,41,92,150,133,17,10,21,25,10,19,12,7,21,15,12,17,10,5,2,11,7,3,2,3,3,3,6,20,20,6,6,5,6,3,7,9,14,58,127,180,64,19,17,16,17,13,7,8,5,7,10,15,3,4,4,2,6,5,1,0,0,4,5,11,2,2,2,4,1,6,7,8,2,3,1,6,3,6,0,1,2,9,22,9,7,31,32,36,11,4,6,5,3,5,0,4,2,4,2,3,2,4,3,0,1,3,2,1,2,4,3,2,1,5,5,2,1,5,0,3,4,5,6,8,2,0,3,4,2,3,5,4,0,14,30,31,22,9,10,8,7,7,2,2,0,5,7,3,3,2,3,5,1,4,9,3,4,3,5,7,5,4,1,8,10,3,7,4,3,12,9,7,5,2,3,2,3,3,2,6,6,2,0,2,2,0,2,1,0,1,1,0,1,1,1,2,0,1,0,2,0,1,0,0,0,3,0,2,1,0,0,1,1,1,2,0,0,0,1,0,1,0,1,3,1,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,4,1,0,0,0,1,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"Nakhon Phanom",5,16,35,32,37,17,9,17,24,31,20,6,21,49,31,31,25,7,16,16,13,6,5,1,10,5,23,20,11,9,19,24,8,29,6,7,98,191,346,192,128,61,27,11,5,17,5,5,23,32,56,18,4,0,3,6,9,0,0,0,11,31,46,38,45,62,130,269,360,287,106,53,39,43,79,74,33,18,10,9,14,14,6,8,3,1,7,7,24,21,12,5,4,8,12,25,28,24,36,27,20,13,12,12,70,17,20,11,48,26,12,14,45,30,31,33,105,105,84,43,27,31,28,12,12,6,7,2,2,4,2,2,4,6,6,11,33,22,15,23,4,9,1,7,13,20,40,69,47,88,119,88,73,78,35,12,46,32,51,37,56,19,28,17,25,23,11,17,14,20,19,20,14,16,14,23,18,30,29,24,59,49,94,39,7,30,80,119,66,23,15,15,15,7,17,9,8,3,14,7,2,2,1,0,4,7,4,3,1,3,4,1,10,13,4,4,6,5,10,10,4,4,4,6,6,2,6,3,7,1,6,3,3,1,5,11,6,1,3,1,6,4,1,1,2,2,1,1,0,2,4,4,10,14,18,4,1,1,7,1,2,1,1,2,2,0,3,0,0,2,1,2,0,1,0,1,1,1,1,0,3,0,2,0,2,0,0,0,4,1,1,2,1,2,1,0,1,1,2,0,2,3,2,1,1,2,1,4,6,1,0,0,0,0,0,5,3,1,1,0,1,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,1,2,0,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,2,0,1,0,1,0,1,0,1,1,1,2,1,2,0,0,0,0,0,0,0,1,0,2,4,1,1,1,0,0,0,1,0,0,0,2,0,0,1,1,1,0,0,0
